acceleration,deceleration,minGap,lcSpeedGain,lcCooperative,lcPushy,lcStrategic,lcAssertive,PMx
6.285,10.699,1.576,3.302,0.361,0.947,5.243,1.88,26299.209477
7.973,6.738,1.576,3.302,0.361,0.947,5.243,1.88,26240.435401000002
7.973,10.699,0.416,3.302,0.361,0.947,5.243,1.88,26296.866756
7.973,10.699,1.576,3.551,0.361,0.947,5.243,1.88,26532.102301
7.973,10.699,1.576,3.302,0.654,0.947,5.243,1.88,26861.260543
7.973,10.699,1.576,3.302,0.361,0.232,5.243,1.88,26241.289409
7.973,10.699,1.576,3.302,0.361,0.947,1.417,1.88,26661.47433
7.973,10.699,1.576,3.302,0.361,0.947,5.243,1.831,27075.209837000002
7.973,10.699,1.576,3.302,0.361,0.947,5.243,1.88,27205.307008
9.285,9.738,1.516,0.901,0.154,0.732,4.367,0.581,21545.604957
4.973,9.738,1.516,0.901,0.154,0.732,4.367,0.581,20142.129892999998
9.285,7.699,1.516,0.901,0.154,0.732,4.367,0.581,21280.05616
9.285,9.738,0.476,0.901,0.154,0.732,4.367,0.581,26193.462068
9.285,9.738,1.516,0.652,0.154,0.732,4.367,0.581,22637.610328000002
9.285,9.738,1.516,0.901,0.861,0.732,4.367,0.581,27173.382079
9.285,9.738,1.516,0.901,0.154,0.447,4.367,0.581,25477.485189
9.285,9.738,1.516,0.901,0.154,0.732,2.293,0.581,27214.537405
9.285,9.738,1.516,0.901,0.154,0.732,4.367,0.63,27271.689324
9.285,7.699,0.476,0.652,0.861,0.447,2.293,0.63,26474.630731999998
4.973,9.738,0.476,0.652,0.861,0.447,2.293,0.63,25053.26035
4.973,7.699,1.516,0.652,0.861,0.447,2.293,0.63,26039.099659
4.973,7.699,0.476,0.901,0.861,0.447,2.293,0.63,23644.258531000003
4.973,7.699,0.476,0.652,0.154,0.447,2.293,0.63,25762.393640000002
4.973,7.699,0.476,0.652,0.861,0.732,2.293,0.63,25911.737058
4.973,7.699,0.476,0.652,0.861,0.447,4.367,0.63,26248.556443999998
4.973,7.699,0.476,0.652,0.861,0.447,2.293,0.581,25540.614827999998
4.973,7.699,0.476,0.652,0.861,0.447,2.293,0.63,25098.69421
7.785,8.238,0.966,4.876,0.404,0.982,2.892,1.206,26527.192986000002
6.473,8.238,0.966,4.876,0.404,0.982,2.892,1.206,26375.843639
7.785,6.199,0.966,4.876,0.404,0.982,2.892,1.206,25358.689404
7.785,8.238,1.026,4.876,0.404,0.982,2.892,1.206,24794.429024
