acceleration,deceleration,minGap,lcSpeedGain,lcCooperative,lcPushy,lcStrategic,lcAssertive,PMx
6.3,10.7,1.6,3.3,0.4,0.9,5.2,1.9,26299.209477
8.0,6.7,1.6,3.3,0.4,0.9,5.2,1.9,26240.435401000002
8.0,10.7,0.4,3.3,0.4,0.9,5.2,1.9,26296.866756
8.0,10.7,1.6,3.6,0.4,0.9,5.2,1.9,26532.102301
8.0,10.7,1.6,3.3,0.7,0.9,5.2,1.9,26861.260543
8.0,10.7,1.6,3.3,0.4,0.2,5.2,1.9,26241.289409
8.0,10.7,1.6,3.3,0.4,0.9,1.4,1.9,26661.47433
8.0,10.7,1.6,3.3,0.4,0.9,5.2,1.8,27075.209837000002
8.0,10.7,1.6,3.3,0.4,0.9,5.2,1.9,27205.307008
9.3,9.7,1.5,0.9,0.2,0.7,4.4,0.6,21545.604957
5.0,9.7,1.5,0.9,0.2,0.7,4.4,0.6,20142.129892999998
9.3,7.7,1.5,0.9,0.2,0.7,4.4,0.6,21280.05616
9.3,9.7,0.5,0.9,0.2,0.7,4.4,0.6,26193.462068
9.3,9.7,1.5,0.7,0.2,0.7,4.4,0.6,22637.610328000002
9.3,9.7,1.5,0.9,0.9,0.7,4.4,0.6,27173.382079
9.3,9.7,1.5,0.9,0.2,0.4,4.4,0.6,25477.485189
9.3,9.7,1.5,0.9,0.2,0.7,2.3,0.6,27214.537405
9.3,9.7,1.5,0.9,0.2,0.7,4.4,0.6,27271.689324
9.3,7.7,0.5,0.7,0.9,0.4,2.3,0.6,26474.630731999998
5.0,9.7,0.5,0.7,0.9,0.4,2.3,0.6,25053.26035
5.0,7.7,1.5,0.7,0.9,0.4,2.3,0.6,26039.099659
5.0,7.7,0.5,0.9,0.9,0.4,2.3,0.6,23644.258531000003
5.0,7.7,0.5,0.7,0.2,0.4,2.3,0.6,25762.393640000002
5.0,7.7,0.5,0.7,0.9,0.7,2.3,0.6,25911.737058
5.0,7.7,0.5,0.7,0.9,0.4,4.4,0.6,26248.556443999998
5.0,7.7,0.5,0.7,0.9,0.4,2.3,0.6,25540.614827999998
5.0,7.7,0.5,0.7,0.9,0.4,2.3,0.6,25098.69421
7.8,8.2,1.0,4.9,0.4,1.0,2.9,1.2,26527.192986000002
6.5,8.2,1.0,4.9,0.4,1.0,2.9,1.2,26375.843639
7.8,6.2,1.0,4.9,0.4,1.0,2.9,1.2,25358.689404
7.8,8.2,1.0,4.9,0.4,1.0,2.9,1.2,24794.429024
7.8,8.2,1.0,2.0,0.4,1.0,2.9,1.2,25768.338993999998
7.8,8.2,1.0,4.9,0.1,1.0,2.9,1.2,26766.343708
7.8,8.2,1.0,4.9,0.4,0.7,2.9,1.2,20184.215458000002
7.8,8.2,1.0,4.9,0.4,1.0,0.8,1.2,26582.617686999998
7.8,8.2,1.0,4.9,0.4,1.0,2.9,1.3,26684.04177
7.8,6.2,1.0,2.0,0.1,0.7,0.8,1.3,26028.626325999998
6.5,8.2,1.0,2.0,0.1,0.7,0.8,1.3,25186.841119
6.5,6.2,1.0,2.0,0.1,0.7,0.8,1.3,24810.675988
6.5,6.2,1.0,4.9,0.1,0.7,0.8,1.3,24983.663771
6.5,6.2,1.0,2.0,0.4,0.7,0.8,1.3,25775.840737
6.5,6.2,1.0,2.0,0.1,1.0,0.8,1.3,26309.509112
6.5,6.2,1.0,2.0,0.1,0.7,2.9,1.3,25129.375705
6.5,6.2,1.0,2.0,0.1,0.7,0.8,1.2,19175.541634
6.5,6.2,1.0,2.0,0.1,0.7,0.8,1.3,18002.341577
4.8,11.2,2.1,2.2,0.9,0.5,5.8,2.5,25810.947488
9.5,11.2,2.1,2.2,0.9,0.5,5.8,2.5,27222.275643
4.8,9.2,2.1,2.2,0.9,0.5,5.8,2.5,25318.458246
4.8,11.2,2.1,2.2,0.9,0.5,5.8,2.5,26195.015791
4.8,11.2,2.1,4.6,0.9,0.5,5.8,2.5,25638.829117
4.8,11.2,2.1,2.2,0.6,0.5,5.8,2.5,25452.18802
4.8,11.2,2.1,2.2,0.9,0.2,5.8,2.5,26075.714678
4.8,11.2,2.1,2.2,0.9,0.5,3.8,2.5,26127.850446
4.8,11.2,2.1,2.2,0.9,0.5,5.8,0.0,26046.062873
4.8,9.2,2.1,4.6,0.6,0.2,3.8,0.0,25677.75403
9.5,11.2,2.1,4.6,0.6,0.2,3.8,0.0,27384.46167
9.5,9.2,2.1,4.6,0.6,0.2,3.8,0.0,27934.142405
9.5,9.2,2.1,2.2,0.6,0.2,3.8,0.0,27366.357303
9.5,9.2,2.1,4.6,0.9,0.2,3.8,0.0,27635.357288
9.5,9.2,2.1,4.6,0.6,0.5,3.8,0.0,27168.791455
9.5,9.2,2.1,4.6,0.6,0.2,5.8,0.0,27363.899986
9.5,9.2,2.1,4.6,0.6,0.2,3.8,2.5,26570.155329999998
9.5,9.2,2.1,4.6,0.6,0.2,3.8,0.0,27850.321841
