13.0,1141.0,4339.0,4507.0,559392397.0501404,10626421.759999188,60843.42999999039,224749.2400000388,9515.320000002856,178422205.74998814
1725.0,946.0,3595.0,3734.0,562914563.6101432,10612020.03999927,60879.56999999058,226479.7400000414,9626.04000000271,179545519.64998594
1.0,114.0,434.0,451.0,83743673.33999881,1409013.730000017,8263.330000000313,33150.820000000596,1366.4899999997956,26710600.429999717
173.0,95.0,359.0,373.0,83507955.4099991,1402776.2900000222,8227.490000000249,33047.69000000039,1362.0799999997985,26635414.929999735
1.0,225.0,380.0,394.0,84590239.91999881,1447619.5000000158,8449.010000000239,33381.69000000032,1363.629999999758,26980649.309999708
2.0,135.0,330.0,533.0,83772738.49999948,1410658.820000018,8260.820000000245,33047.270000000586,1351.9299999997868,26719887.149999827
1.0,119.0,451.0,429.0,84056100.51999871,1415114.0500000191,8292.920000000264,33240.270000000404,1367.4899999997854,26810255.159999717
1.0,270.0,294.0,435.0,84926931.47999904,1486035.7500000165,8626.000000000322,33428.61000000032,1354.9599999997436,27088077.2699996
205.0,113.0,275.0,407.0,83272033.24999894,1401748.1600000302,8213.480000000285,32909.60000000044,1351.9199999998045,26560174.159999747
159.0,196.0,330.0,315.0,84070713.87999892,1441000.6700000288,8410.920000000197,33213.37000000027,1360.699999999758,26814939.679999843
174.0,215.0,234.0,377.0,84855438.05999915,1463961.7200000132,8527.810000000303,33442.50000000041,1362.579999999745,27065252.459999457
1,114,434,451,0,0,0,0,0,0
173,95,359,373,0,0,0,0,0,0
1,225,380,394,0,0,0,0,0,0
2,135,330,533,0,0,0,0,0,0
1,119,451,429,0,0,0,0,0,0
1,270,294,435,0,0,0,0,0,0
205,113,275,407,0,0,0,0,0,0
159,196,330,315,0,0,0,0,0,0
174,215,234,377,0,0,0,0,0,0
180,222,241,357,0,0,0,0,0,0
229,341,207,223,0,0,0,0,0,0
361,283,171,185,0,0,0,0,0,0
332,43,300,325,0,0,0,0,0,0
271,404,61,264,0,0,0,0,0,0
238,355,214,193,0,0,0,0,0,0
460,60,105,375,0,0,0,0,0,0
429,337,51,183,0,0,0,0,0,0
508,34,241,217,0,0,0,0,0,0
588,40,70,302,0,0,0,0,0,0
619,42,74,265,0,0,0,0,0,0
342,1,320,337,0,0,0,0,0,0
329,0,327,344,0,0,0,0,0,0
300,125,280,295,0,0,0,0,0,0
319,1,366,314,0,0,0,0,0,0
466,1,435,98,0,0,0,0,0,0
360,151,413,76,0,0,0,0,0,0
409,0,499,92,0,0,0,0,0,0
375,167,373,85,0,0,0,0,0,0
269,120,329,282,0,0,0,0,0,0
346,154,422,78,0,0,0,0,0,0
211,418,170,201,0,0,0,0,0,0
180,434,177,209,0,0,0,0,0,0
167,539,135,159,0,0,0,0,0,0
186,369,268,177,0,0,0,0,0,0
156,310,126,408,0,0,0,0,0,0
121,390,174,315,0,0,0,0,0,0
120,289,210,381,0,0,0,0,0,0
110,432,108,350,0,0,0,0,0,0
128,500,224,148,0,0,0,0,0,0
102,398,178,322,0,0,0,0,0,0
398,133,347,122,0,0,0,0,0,0
127,192,503,178,0,0,0,0,0,0
250,456,217,77,0,0,0,0,0,0
235,78,615,72,0,0,0,0,0,0
436,145,380,39,0,0,0,0,0,0
181,330,473,16,0,0,0,0,0,0
67,102,803,28,0,0,0,0,0,0
1,114,434,451,0,0,0,0,0,0
173,95,359,373,0,0,0,0,0,0
1,225,380,394,0,0,0,0,0,0
2,135,330,533,0,0,0,0,0,0
1,119,451,429,0,0,0,0,0,0
1,270,294,435,0,0,0,0,0,0
205,113,275,407,0,0,0,0,0,0
159,196,330,315,0,0,0,0,0,0
174,215,234,377,0,0,0,0,0,0
180,222,241,357,0,0,0,0,0,0
229,341,207,223,0,0,0,0,0,0
361,283,171,185,0,0,0,0,0,0
332,43,300,325,0,0,0,0,0,0
271,404,61,264,0,0,0,0,0,0
238,355,214,193,0,0,0,0,0,0
460,60,105,375,0,0,0,0,0,0
429,337,51,183,0,0,0,0,0,0
508,34,241,217,0,0,0,0,0,0
588,40,70,302,0,0,0,0,0,0
619,42,74,265,0,0,0,0,0,0
342,1,320,337,0,0,0,0,0,0
329,0,327,344,0,0,0,0,0,0
300,125,280,295,0,0,0,0,0,0
319,1,366,314,0,0,0,0,0,0
466,1,435,98,0,0,0,0,0,0
