1.0,126.0,477.0,496.0,445866483.9400579,3396304.289999637,71317.37999999213,1388679.9999998722,58333.40999999101,142896828.00999466
190.0,104.0,395.0,411.0,483026441.8900443,3400804.3499998716,62176.58999999622,1445643.729999955,62402.66999999245,155063815.18999267
1.0,247.0,418.0,434.0,667115273.2900977,3581043.34999982,76182.06999999269,2882335.1200000914,96743.42000001056,213987584.5000064
2.0,149.0,363.0,586.0,550625631.4101155,4059539.6099995147,67983.93999999102,1856463.799999841,66704.08999998873,176427306.32999885
2.0,130.0,496.0,472.0,496433958.8200817,3415799.789999687,73111.89999999215,1749444.239999896,68367.0499999915,159150560.12999743
2.0,297.0,323.0,478.0,791335548.7200878,3525373.579999833,77365.76999999244,3727211.1800001464,117707.04000001417,253904631.90999866
226.0,123.0,303.0,448.0,537495380.4800621,3474743.3799997363,58962.3799999955,1702255.4299999638,68470.06999999208,172576238.48998663
175.0,215.0,364.0,346.0,651931393.1000739,3222890.8799999775,69605.66999999316,2728603.2900000988,97741.74000000865,209395273.43999058
192.0,236.0,257.0,415.0,708205856.3100724,3323232.0199998976,64478.859999995475,2959656.8600000744,101521.58000000397,227454051.5299857
198.0,244.0,265.0,393.0,740323216.130088,3487806.4799998323,67881.29999999375,3209750.2100001355,107983.94000001275,237737667.32999048
251.0,376.0,227.0,246.0,920858201.7500677,2960243.8100000205,72809.81999999355,4615942.6000001645,148273.43000000264,295951839.0199888
397.0,311.0,188.0,204.0,851320560.6100453,2752759.1199999517,63691.73999999815,3989035.7299997015,135124.35000000545,273831378.4999852
365.0,48.0,330.0,357.0,411089759.06004274,3358352.009999746,52517.22999999572,755494.3599998727,47357.71999999393,132163648.59998183
297.0,444.0,68.0,291.0,1077384622.3400707,3404513.519999951,68046.29999999577,5438462.210000835,167596.58000000543,346240190.77001375
261.0,390.0,236.0,213.0,961664662.5700469,2824201.2799999644,74670.69999999531,4933530.100000261,157856.93000000008,309120145.23998696
507.0,66.0,115.0,412.0,499648953.6700535,3550307.4199997317,39808.079999999565,1029750.6999998051,53403.34999999557,160721176.39997536
472.0,370.0,56.0,202.0,967495506.4100412,2799445.809999988,58723.6800000002,4636789.570000033,152049.97000000044,311231289.9499814
558.0,38.0,265.0,239.0,395544431.6500244,2850670.229999871,44666.729999998446,610495.0299999309,47856.159999998075,127441061.71998009
647.0,44.0,77.0,332.0,469371531.7600426,3206752.0599998552,32456.58000000303,737943.1199998573,48452.22999999667,151195094.96998054
681.0,47.0,81.0,291.0,451881396.44003457,3045853.369999895,28992.36000000238,597143.5299998809,46749.729999996656,145710574.71997842
377.0,0.0,352.0,371.0,316957891.1900091,3132529.609999832,49349.249999997555,126624.36999999476,32570.890000002884,101982341.88998489
362.0,0.0,360.0,378.0,304839896.0300088,3099973.8599997642,52018.549999997245,123483.99999999434,31451.940000001097,98012846.13998593
330.0,138.0,308.0,324.0,534906597.9900433,3030068.98999988,55958.04999999703,1721984.1900000942,72794.00999999854,171969017.37998924
351.0,0.0,403.0,346.0,302174098.7900019,3030057.30999987,52099.23999999732,122572.44999999498,32590.45000000179,97212674.24998707
512.0,1.0,479.0,108.0,260995083.65999818,2083848.270000043,53653.90999999698,109633.84000000182,41021.620000000636,84394834.44998786
396.0,166.0,454.0,84.0,544801031.340014,2211706.3999999836,66832.83999999845,2170742.0000003204,93228.43000000721,175462311.82999283
449.0,1.0,549.0,101.0,242035956.82999906,1989848.6300000125,60322.149999997855,117481.96999999964,41456.72000000113,78248045.02999347
413.0,184.0,410.0,93.0,554598004.7800245,2117091.7200000016,65183.43999999752,2227383.1800003485,93019.15000000656,178632881.40998644
296.0,132.0,362.0,310.0,492946486.27004904,2958813.409999812,59888.20999999537,1538035.5400000121,68741.09999999386,158484549.39999244
